INSTNM,CITY,STABBR,LOCALE,CIP11ASSOC,CIP11BACHL
EDP Univeristy of Puerto Rico Inc-San Juan,SanJuan,PR,11.0,1.0,1.0
ICPR Junior College-General Institutional,HatoRey,PR,11.0,1.0,0.0
ITT Technical Institute-Sylmar,Sylmar,CA,11.0,1.0,1.0
Kaplan College-El Paso,ElPaso,TX,11.0,1.0,0.0
Palo Alto College,SanAntonio,TX,11.0,2.0,0.0
Athens Technical College,Athens,GA,12.0,1.0,0.0
National American University-Albuquerque,Albuquerque,NM,11.0,2.0,2.0
ECPI University,VirginiaBeach,VA,11.0,2.0,2.0
Kaplan University-Davenport Campus,Davenport,IA,12.0,2.0,2.0
Kaplan University-Cedar Falls Campus,CedarFalls,IA,13.0,2.0,2.0
ITT Technical Institute-Arlington Heights,ArlingtonHeights,IL,13.0,1.0,1.0
ITT Technical Institute-Troy,Troy,MI,13.0,1.0,1.0
Skyline College-Roanoke,Roanoke,VA,13.0,1.0,1.0
Brandman University,Irvine,CA,12.0,2.0,2.0
Heald College-Roseville,Roseville,CA,12.0,1.0,0.0
Daymar College-Bowling Green,BowlingGreen,KY,13.0,1.0,1.0
University of Advancing Technology,Tempe,AZ,12.0,2.0,2.0
Paradise Valley Community College,Phoenix,AZ,11.0,1.0,0.0
Kaplan College-San Antonio-San Pedro,SanAntonio,TX,11.0,1.0,0.0
The Art Institute of New York City,NewYork,NY,11.0,1.0,0.0
Vista College,ElPaso,TX,11.0,2.0,0.0
Pennsylvania College of Technology,Williamsport,PA,13.0,1.0,2.0
InterCoast Colleges-Orange,Orange,CA,12.0,2.0,0.0
Remington College-Mobile Campus,Mobile,AL,12.0,1.0,0.0
Southwest Florida College,FortMyers,FL,13.0,2.0,2.0
ITT Technical Institute-Knoxville,Knoxville,TN,12.0,1.0,1.0
ITT Technical Institute-Austin,Austin,TX,11.0,1.0,1.0
Argosy University-Hawaii,Honolulu,HI,11.0,1.0,1.0
Career Technical College-Monroe,Monroe,LA,13.0,1.0,0.0
Interactive Learning Systems-Houston,Houston,TX,11.0,1.0,0.0
NorthWest Arkansas Community College,Bentonville,AR,13.0,2.0,0.0
Daymar Institute-Clarksville,Clarksville,TN,12.0,1.0,1.0
ITT Technical Institute-Norfolk,Norfolk,VA,12.0,1.0,1.0
Los Angeles ORT College-Los Angeles Campus,LosAngeles,CA,11.0,1.0,0.0
ITT Technical Institute-Albuquerque,Albuquerque,NM,11.0,1.0,1.0
Bryan University,Springfield,MO,12.0,2.0,2.0
Heald College-Stockton,Stockton,CA,11.0,1.0,0.0
Heald College-Hayward,Hayward,CA,12.0,1.0,0.0
University of Phoenix-Online Campus,Phoenix,AZ,11.0,2.0,2.0
University of Phoenix-San Diego Campus,SanDiego,CA,11.0,2.0,2.0
Remington College-Honolulu Campus,Honolulu,HI,11.0,1.0,1.0
Vatterott College-Des Moines,DesMoines,IA,12.0,1.0,0.0
Kaplan College-Las Vegas,LasVegas,NV,11.0,1.0,0.0
YTI Career Institute-Altoona,Altoona,PA,13.0,1.0,0.0
ITT Technical Institute-San Antonio,SanAntonio,TX,11.0,1.0,1.0
Remington College-Fort Worth Campus,FortWorth,TX,11.0,1.0,0.0
Vista College-Online,Clearfield,UT,13.0,2.0,0.0
Centura College-Newport News,NewportNews,VA,12.0,1.0,0.0
University of Washington-Tacoma Campus,Tacoma,WA,12.0,0.0,1.0
ITT Technical Institute-Torrance,Torrance,CA,11.0,1.0,1.0
Provo College,Provo,UT,12.0,1.0,0.0
Westwood College-Denver South,Denver,CO,11.0,1.0,1.0
ITT Technical Institute-San Bernardino,SanBernardino,CA,12.0,1.0,1.0
King's College,Charlotte,NC,11.0,1.0,0.0
Miller-Motte Technical College-Clarksville,Clarksville,TN,12.0,1.0,0.0
Antonelli College-Hattiesburg,Hattiesburg,MS,13.0,2.0,0.0
University of the Potomac-Washington DC Campus,Washington,DC,11.0,2.0,2.0
Fortis Institute-Scranton,Scranton,PA,13.0,1.0,0.0
National College-Nashville,Nashville,TN,11.0,1.0,0.0
Chicago ORT Technical Institute,Skokie,IL,13.0,1.0,0.0
Wyotech-Long Beach,LongBeach,CA,11.0,1.0,0.0
Santiago Canyon College,Orange,CA,12.0,2.0,0.0
Southern California Institute of Technology,Anaheim,CA,11.0,1.0,1.0
Colorado Technical University-Sioux Falls,SiouxFalls,SD,12.0,1.0,1.0
Vatterott College-Springfield,Springfield,MO,12.0,1.0,0.0
Vatterott College-Joplin,Joplin,MO,13.0,1.0,0.0
Vatterott College-Kansas City,KansasCity,MO,11.0,1.0,0.0
ASA College,Brooklyn,NY,11.0,1.0,0.0
University of Phoenix-Southern Arizona Campus,Tucson,AZ,11.0,0.0,2.0
University of Phoenix-Albuquerque Campus,Albuquerque,NM,11.0,0.0,2.0
University of Phoenix-Bay Area Campus,SanJose,CA,11.0,0.0,2.0
University of Phoenix-Southern California Campus,CostaMesa,CA,12.0,0.0,2.0
Wright Career College,OverlandPark,KS,12.0,2.0,0.0
Daymar College-Louisville,Louisville,KY,11.0,1.0,1.0
Arizona State University-West,Glendale,AZ,11.0,0.0,1.0
ITT Technical Institute-Jacksonville,Jacksonville,FL,11.0,1.0,1.0
ITT Technical Institute-Omaha,Omaha,NE,11.0,1.0,1.0
Brown Mackie College-Fort Wayne,FortWayne,IN,11.0,1.0,1.0
South Texas College,McAllen,TX,12.0,2.0,1.0
The Art Institute of California-Argosy University Hollywood,NorthHollywood,CA,11.0,1.0,1.0
Remington College-Memphis Campus,Memphis,TN,11.0,1.0,1.0
Capella University,Minneapolis,MN,11.0,0.0,2.0
ITT Technical Institute-Little Rock,LittleRock,AR,12.0,1.0,1.0
ITT Technical Institute-Oxnard,Oxnard,CA,12.0,1.0,1.0
ITT Technical Institute-Greenville,Greenville,SC,13.0,1.0,1.0
Mech-Tech College,Caguas,PR,13.0,1.0,0.0
ITT Technical Institute-Everett,Everett,WA,12.0,1.0,1.0
University of Phoenix-Sacramento Valley Campus,Sacramento,CA,11.0,0.0,2.0
Everest University-Melbourne,Melbourne,FL,13.0,2.0,2.0
University of Phoenix-Hawaii Campus,Honolulu,HI,11.0,0.0,2.0
Virginia College-Birmingham,Birmingham,AL,12.0,2.0,2.0
Virginia College-Huntsville,Huntsville,AL,12.0,1.0,1.0
Northwest Vista College,SanAntonio,TX,11.0,2.0,0.0
Arizona State University-Polytechnic,Mesa,AZ,11.0,0.0,2.0
University of Phoenix-Detroit Campus,Southfield,MI,13.0,2.0,2.0
Living Arts College,Raleigh,NC,11.0,0.0,1.0
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,13.0,1.0,1.0
The Art Institute of Phoenix,Phoenix,AZ,11.0,1.0,1.0
ITT Technical Institute-Henderson,Henderson,NV,11.0,1.0,1.0
Colorado Technical University-Greenwood Village,Aurora,CO,11.0,1.0,1.0
Heald College-Portland,Portland,OR,11.0,1.0,0.0
Kaplan College-San Antonio-Ingram,SanAntonio,TX,11.0,1.0,0.0
Delaware College of Art and Design,Wilmington,DE,13.0,1.0,0.0
The Art Institute of California-Argosy University Los Angeles,SantaMonica,CA,13.0,1.0,1.0
Spencerian College-Lexington,Lexington,KY,11.0,1.0,0.0
ITT Technical Institute-Richardson,Richardson,TX,12.0,1.0,1.0
South Louisiana Community College,Lafayette,LA,12.0,1.0,0.0
University of Phoenix-North Florida Campus,Jacksonville,FL,11.0,0.0,2.0
University of Phoenix-Maryland Campus,Columbia,MD,13.0,0.0,2.0
University of Phoenix-Oklahoma City Campus,OklahomaCity,OK,11.0,0.0,2.0
University of Phoenix-Tulsa Campus,Tulsa,OK,11.0,0.0,2.0
Vatterott College-St Joseph,SaintJoseph,MO,13.0,1.0,0.0
Anthem College-Orlando,Orlando,FL,12.0,1.0,0.0
National American University-Bloomington,Bloomington,MN,13.0,2.0,2.0
University of Connecticut-Stamford,Stamford,CT,12.0,1.0,1.0
University of Management and Technology,Arlington,VA,12.0,2.0,2.0
Baton Rouge Community College,BatonRouge,LA,12.0,1.0,0.0
Westwood College-Anaheim,Anaheim,CA,11.0,1.0,1.0
Carrington College California-San Jose,SanJose,CA,11.0,1.0,0.0
University of Phoenix-Southern Colorado Campus,ColoradoSprings,CO,11.0,0.0,2.0
American InterContinental University-Atlanta,Atlanta,GA,13.0,2.0,2.0
Remington College-Baton Rouge Campus,BatonRouge,LA,12.0,1.0,0.0
Kaplan College-Beaumont,Beaumont,TX,12.0,1.0,0.0
Kaplan College-Laredo,Laredo,TX,12.0,1.0,0.0
The Art Institute of Washington,Arlington,VA,12.0,1.0,1.0
National American University-Albuquerque West,Albuquerque,NM,11.0,2.0,2.0
Oregon State University-Cascades Campus,Bend,OR,13.0,0.0,2.0
Vatterott College-Dividend,Memphis,TN,11.0,1.0,0.0
Vatterott College-Tulsa,Tulsa,OK,11.0,1.0,0.0
Vatterott College-Wichita,Wichita,KS,11.0,1.0,0.0
Lamar Institute of Technology,Beaumont,TX,12.0,2.0,0.0
Virginia College-Jackson,Jackson,MS,12.0,2.0,0.0
The Art Institute of California-Argosy University Orange County,SantaAna,CA,11.0,1.0,1.0
Lincoln Technical Institute-Northeast Philadelphia,Philadelphia,PA,11.0,1.0,0.0
Lincoln Technical Institute-Center City Philadelphia,Philadelphia,PA,11.0,1.0,0.0
University of Phoenix-Atlanta Campus,SandySprings,GA,13.0,0.0,2.0
University of Phoenix-Chicago Campus,Schaumburg,IL,13.0,0.0,2.0
University of Phoenix-Nashville Campus,Nashville,TN,11.0,0.0,2.0
University of Phoenix-Northern Virginia Campus,Reston,VA,13.0,0.0,2.0
Interactive College of Technology-Gainesville,Gainesville,GA,13.0,1.0,0.0
Grantham University,KansasCity,MO,11.0,2.0,2.0
Minnesota School of Business-Plymouth,Plymouth,MN,13.0,1.0,1.0
National American University-Overland Park,OverlandPark,KS,12.0,2.0,2.0
DigiPen Institute of Technology,Redmond,WA,13.0,0.0,1.0
University of Phoenix-Charlotte Campus,Charlotte,NC,11.0,0.0,2.0
Westwood College-Chicago Loop,Chicago,IL,11.0,1.0,1.0
Interactive Learning Systems-North Houston,Houston,TX,11.0,1.0,0.0
Strayer University-Tennessee,Memphis,TN,11.0,2.0,2.0
Kaplan College-Brownsville,Brownsville,TX,12.0,1.0,0.0
University of Phoenix-Columbus Georgia Campus,Columbus,GA,12.0,0.0,2.0
University of Phoenix-Memphis Campus,Cordova,TN,11.0,0.0,2.0
University of Phoenix-Little Rock Campus,LittleRock,AR,12.0,0.0,2.0
Colorado Technical University-Online,ColoradoSprings,CO,11.0,2.0,2.0
Folsom Lake College,Folsom,CA,13.0,1.0,0.0
Daymar Institute-Murfreesboro,Murfreesboro,TN,12.0,1.0,1.0
The Art Institute of Tucson,Tucson,AZ,11.0,1.0,1.0
American InterContinental University-Online,Schaumburg,IL,13.0,2.0,2.0
Westwood College-Atlanta Midtown,Atlanta,GA,11.0,1.0,1.0
ITT Technical Institute-Eden Prairie,EdenPrairie,MN,13.0,1.0,1.0
International Academy of Design and Technology-Troy,Troy,MI,13.0,1.0,1.0
American InterContinental University-Houston,Houston,TX,11.0,1.0,1.0
University of Phoenix-Jersey City Campus,JerseyCity,NJ,11.0,0.0,2.0
Vatterott College-St Charles,StCharles,MO,13.0,1.0,0.0
Neumont University,SaltLakeCity,UT,12.0,0.0,1.0
Career Quest Learning Centers-Lansing,Lansing,MI,12.0,1.0,0.0
Stanbridge College,Irvine,CA,12.0,1.0,2.0
Harrisburg University of Science and Technology,Harrisburg,PA,13.0,0.0,1.0
Stevens-Henager College-Logan,Logan,UT,13.0,1.0,1.0
ITT Technical Institute-Kansas City,KansasCity,MO,11.0,1.0,1.0
Westwood College-Arlington Ballston,Arlington,VA,12.0,1.0,1.0
Platt College-Dallas,Dallas,TX,11.0,1.0,0.0
Eagle Gate College-Salt Lake City,SaltLakeCity,UT,12.0,2.0,0.0
Minnesota School of Business-Rochester,Rochester,MN,12.0,1.0,1.0
Asher College,Sacramento,CA,13.0,1.0,0.0
The Art Institute of Indianapolis,Indianapolis,IN,11.0,1.0,1.0
ITT Technical Institute-Charlotte South,Charlotte,NC,11.0,1.0,1.0
ITT Technical Institute-Lexington,Lexington,KY,11.0,1.0,1.0
ITT Technical Institute-Oklahoma City,OklahomaCity,OK,11.0,1.0,1.0
ITT Technical Institute-Tulsa,Tulsa,OK,11.0,1.0,1.0
University of Phoenix-Northwest Arkansas Campus,Rogers,AR,13.0,0.0,2.0
The Art Institute of California-Argosy University Inland Empire,SanBernardino,CA,12.0,1.0,1.0
National American University-Zona Rosa,KansasCity,MO,11.0,2.0,2.0
Rasmussen College-Illinois,Rockford,IL,12.0,2.0,2.0
College America-Colorado Springs,ColoradoSprings,CO,11.0,1.0,1.0
College America-Fort Collins,FortCollins,CO,12.0,1.0,1.0
The Art Institute of Tennessee-Nashville,Nashville,TN,11.0,1.0,1.0
South University-Tampa,Tampa,FL,11.0,1.0,1.0
The Art Institute of Charleston,Charleston,SC,12.0,1.0,1.0
The Art Institute of California-Argosy University Sacramento,Sacramento,CA,11.0,1.0,1.0
ITT Technical Institute-St Petersburg,StPetersburg,FL,12.0,1.0,1.0
ITT Technical Institute-Columbia,Columbia,SC,12.0,1.0,1.0
ITT Technical Institute-Wichita,Wichita,KS,11.0,1.0,1.0
ITT Technical Institute-Mobile,Mobile,AL,12.0,1.0,1.0
ITT Technical Institute-Chattanooga,Chattanooga,TN,12.0,1.0,1.0
Strayer University-Alabama,Birmingham,AL,12.0,2.0,2.0
International Academy of Design and Technology-Sacramento,Sacramento,CA,11.0,1.0,1.0
International Academy of Design and Technology-San Antonio,SanAntonio,TX,11.0,1.0,1.0
University of Phoenix-Augusta Campus,Augusta,GA,12.0,0.0,2.0
Argosy University-Inland Empire,Ontario,CA,12.0,1.0,1.0
Rasmussen College-Wisconsin,GreenBay,WI,12.0,2.0,2.0
Digital Media Arts College,BocaRaton,FL,13.0,0.0,1.0
The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,11.0,2.0,2.0
College America-Cheyenne,Cheyenne,WY,13.0,1.0,1.0
The Art Institute of Michigan,Novi,MI,13.0,1.0,1.0
The Art Institute of Austin,Austin,TX,12.0,1.0,1.0
The Art Institute of California-Argosy University-Silicon Valley,Sunnyvale,CA,12.0,1.0,1.0
National American University-Austin,Austin,TX,11.0,2.0,2.0
National American University-Wichita,Wichita,KS,11.0,2.0,2.0
ITT Technical Institute-Columbus,Columbus,OH,11.0,1.0,1.0
ITT Technical Institute-Phoenix,Phoenix,AZ,11.0,1.0,1.0
ITT Technical Institute-High Point,HighPoint,NC,12.0,1.0,1.0
The Art Institute of Raleigh-Durham,Durham,NC,12.0,1.0,1.0
Strayer University-Kentucky,Lexington,KY,11.0,2.0,2.0
National College-Cincinnati,Cincinnati,OH,11.0,1.0,0.0
Career Quest Learning Centers-Jackson,Jackson,MI,13.0,1.0,0.0
Bryan University,Rogers,AR,13.0,1.0,0.0
Broadview University-Orem,Orem,UT,13.0,1.0,1.0
Vatterott College-Appling Farms,Memphis,TN,11.0,1.0,0.0
Brown Mackie College-Boise,Boise,ID,12.0,1.0,1.0
Brown Mackie College-Tulsa,Tulsa,OK,11.0,1.0,1.0
Miller-Motte College-Greenville,Greenville,NC,13.0,1.0,0.0
Virginia College-Jacksonville,Jacksonville,FL,11.0,1.0,0.0
Miller-Motte College-Raleigh,Raleigh,NC,11.0,1.0,0.0
Lincoln College of Technology-Toledo,Toledo,OH,11.0,1.0,0.0
ITT Technical Institute-Springfield,Springfield,MO,12.0,1.0,1.0
ITT Technical Institute-Charlotte North,Charlotte,NC,11.0,1.0,1.0
Brown Mackie College-Phoenix,Phoenix,AZ,11.0,1.0,1.0
Brown Mackie College-Greenville,Greenville,SC,13.0,1.0,1.0
Globe University-Eau Claire,EauClaire,WI,13.0,1.0,1.0
Globe University-Minneapolis,Minneapolis,MN,11.0,1.0,1.0
National College-Columbus,Columbus,OH,11.0,1.0,0.0
Herzing University-Toledo,Toledo,OH,11.0,2.0,2.0
American Business and Technology University,StJoseph,MO,13.0,2.0,2.0
Kaplan College-Indianapolis,Indianapolis,IN,11.0,1.0,0.0
The Art Institute of Virginia Beach,VirginiaBeach,VA,11.0,1.0,1.0
Kaplan College-Arlington,Arlington,TX,11.0,1.0,0.0
Kaplan College-Jacksonville,Jacksonville,FL,11.0,1.0,0.0
Globe University-Madison East,Madison,WI,12.0,1.0,1.0
Strayer University-Arkansas,LittleRock,AR,12.0,2.0,2.0
Strayer University-Louisiana,Metairie,LA,12.0,2.0,2.0
Strayer University-Mississippi,Jackson,MS,12.0,2.0,2.0
Strayer University-South Carolina,Greenville,SC,13.0,2.0,2.0
Strayer University-Texas,Austin,TX,11.0,2.0,2.0
The Art Institute of San Antonio,SanAntonio,TX,11.0,1.0,1.0
Globe University-La Crosse,Onalaska,WI,13.0,1.0,1.0
Bryant & Stratton College-Hampton,Hampton,VA,12.0,1.0,1.0
South UniversityVirginia Beach,VirginiaBeach,VA,11.0,1.0,1.0
ITT Technical Institute-Tallahassee,Tallahassee,FL,12.0,1.0,1.0
ITT Technical Institute-Cedar Rapids,CedarRapids,IA,12.0,1.0,1.0
ITT Technical Institute-Corona,Corona,CA,12.0,1.0,1.0
ITT Technical Institute-Johnson City,JohnsonCity,TN,13.0,1.0,1.0
ITT Technical Institute-North Charleston,NorthCharleston,SC,13.0,1.0,1.0
ITT Technical Institute-Aurora,Aurora,CO,11.0,1.0,1.0
ITT Technical Institute-Dearborn,Dearborn,MI,13.0,1.0,1.0
Strayer University-Global Region,Washington,DC,11.0,2.0,2.0
Brown Mackie College-Albuquerque,Albuquerque,NM,11.0,1.0,1.0
California University of Management and Sciences,Anaheim,CA,11.0,0.0,1.0
Brown Mackie College-San Antonio,SanAntonio,TX,11.0,1.0,1.0
American Sentinel University,Aurora,CO,11.0,2.0,2.0
Stevens-Henager College-Boise,Boise,ID,12.0,1.0,2.0
ITT Technical Institute-Durham,Durham,NC,12.0,1.0,1.0
National American University-Tulsa,Tulsa,OK,11.0,2.0,2.0
National American University-Colorado Springs South,ColoradoSprings,CO,11.0,2.0,2.0
ITT Technical Institute-Oakland,Oakland,CA,11.0,1.0,1.0
South University-The Art Institute of Fort Worth,FortWorth,TX,11.0,1.0,1.0
South University-Novi,Novi,MI,13.0,1.0,1.0
Career Quest Learning Center-Kalamazoo,Kalamazoo,MI,13.0,1.0,0.0
ITT Technical Institute-Phoenix West,Phoenix,AZ,11.0,1.0,1.0
ITT Technical Institute-Waco,Waco,TX,12.0,1.0,1.0
ITT Technical Institute-Myrtle Beach,MyrtleBeach,SC,13.0,1.0,1.0
College America-Phoenix,Phoenix,AZ,11.0,1.0,1.0
University of Phoenix-Baton Rouge Campus,BatonRouge,LA,12.0,0.0,2.0
University of Phoenix-Lafayette Campus,Lafayette,LA,12.0,0.0,2.0
South UniversitySavannah Online,Savannah,GA,12.0,2.0,2.0
Stella and Charles Guttman Community College,NewYork,NY,11.0,1.0,0.0
Bryan University,Columbia,MO,12.0,1.0,0.0
Virginia College-Knoxville,Knoxville,TN,12.0,1.0,1.0
Sessions College for Professional Design,Tempe,AZ,12.0,2.0,0.0
Strayer University-Wisconsin,Milwaukee,WI,11.0,2.0,2.0
Strayer University-Indiana,Indianapolis,IN,11.0,2.0,2.0
Strayer University-Illinois,Chicago,IL,11.0,2.0,2.0
Stevens-Henager College-St George,StGeorge,UT,13.0,1.0,1.0
ITT Technical Institute-Philadelphia,Philadelphia,PA,11.0,1.0,0.0
ITT Technical Institute-Grand Rapids,Wyoming,MI,13.0,1.0,1.0
ITT Technical Institute-Southfield,Southfield,MI,13.0,1.0,1.0
ITT Technical Institute-Salem,Salem,OR,12.0,1.0,1.0
ITT Technical Institute-Indianapolis East,Indianapolis,IN,11.0,1.0,1.0
ITT Technical Institute-Overland Park,OverlandPark,KS,12.0,1.0,1.0
ITT Technical Institute-Springfield,Springfield,IL,12.0,1.0,1.0
Florida Institute of Technology-Online,Melbourne,FL,13.0,2.0,2.0
Advanced Computing Institute,LosAngeles,CA,11.0,1.0,0.0
Strayer University-Missouri,KansasCity,MO,11.0,2.0,2.0
ITT Technical Institute-Pensacola,Pensacola,FL,13.0,1.0,1.0
ITT Technical Institute-San Antonio East,SanAntonio,TX,11.0,1.0,1.0
Georgia Regents University,Augusta,GA,12.0,1.0,2.0
Middle Georgia State College,Macon,GA,13.0,1.0,2.0
National American University-Austin South,Austin,TX,11.0,2.0,2.0
National American University-Richardson,Richardson,TX,12.0,2.0,2.0
National American University-Rochester,Rochester,MN,12.0,2.0,2.0
National American University-Wichita West,Wichita,KS,11.0,2.0,2.0
National American University-Indianapolis,Indianapolis,IN,11.0,2.0,2.0
The Art Institute of St Louis,StCharles,MO,13.0,1.0,1.0
DeVry College of New York,NewYork,NY,11.0,1.0,1.0
DeVry University-Arizona,Phoenix,AZ,11.0,1.0,1.0
DeVry University-Illinois,Chicago,IL,11.0,2.0,2.0
DeVry University-Indiana,Indianapolis,IN,11.0,1.0,1.0
DeVry University-Maryland,Bethesda,MD,13.0,0.0,1.0
DeVry University-Michigan,Southfield,MI,13.0,1.0,1.0
DeVry University-Missouri,KansasCity,MO,11.0,1.0,1.0
DeVry University-Nevada,Henderson,NV,11.0,1.0,1.0
DeVry University-North Carolina,Charlotte,NC,11.0,1.0,1.0
DeVry University-Ohio,Columbus,OH,11.0,2.0,2.0
DeVry University-Oklahoma,OklahomaCity,OK,11.0,1.0,1.0
DeVry University-Tennessee,Memphis,TN,11.0,1.0,1.0
DeVry University-Texas,Irving,TX,12.0,1.0,1.0
DeVry University-Virginia,Arlington,VA,12.0,1.0,1.0
DeVry University-Wisconsin,Milwaukee,WI,11.0,1.0,1.0
Northeastern University Global Network,Boston,MA,11.0,2.0,2.0
Central Georgia Technical College,WarnerRobins,GA,13.0,2.0,0.0
